State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Rural_Households,Households_with_Electric_Lighting,SC,ST,Workers,Non_Workers,Sex-Ratio,Literacy Rate
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,3209,367158,240042,265184,36039,773916,883660,92.0,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,3982,293480,272486,247308,40514,822797,1013289,95.0,63.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,235018,1165718,1925019,1180703,348876,4048993,5380415,91.0,76.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,7752,538538,367352,66948,20374,714076,900993,112.0,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,13212,626872,485126,353093,18333,1215104,1607039,97.0,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,14093,774522,562653,323236,29635,1354947,1648794,99.0,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,3517,295847,194228,55586,6976,347178,502473,104.0,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,15145,779929,595560,649745,77592,1898395,2419361,94.0,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,256170,713994,2231800,730089,1542451,4492767,6567381,89.0,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,4313,268486,266155,188830,149507,608235,692539,95.0,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,1875,274925,196022,229462,80471,569792,627368,93.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,6094,629243,446516,328518,514057,1355999,1416349,95.0,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,676,34977,34364,22113,3287,109937,127462,100.0,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,184,30377,18764,540,128280,76238,67944,93.0,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,837,52972,29894,443,254787,122655,151488,97.0,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,256,38008,22798,1000,419210,233622,245526,94.0,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,125,23982,11541,22,134626,70675,69976,94.0,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,880,65961,49507,40593,1808,195319,226849,100.0,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,276,36084,14026,248,173606,87929,96069,94.0,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,288,62698,24550,509,305180,126073,191844,97.0,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,5032,106248,135941,5642,661158,326786,499136,101.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,510,76546,41677,1317,376099,154180,240944,101.0,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,179,35930,10940,319,134237,53069,89265,95.0,58.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,1630,139351,51301,8810,474009,255693,387598,98.0,56.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,149,74832,32873,168,375097,163345,220116,98.0,60.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,4019,20570,79804,627,373542,174636,225673,101.0,85.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,186,18395,23948,17,123466,60342,65403,98.0,80.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,367,9669,14853,84,73609,36672,47283,96.0,78.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,162,21993,9283,146,112354,45566,72328,95.0,53.0
